City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Haimen,CN,27.94,light rain,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
8,Russell,US,29.78,clear sky,32.3502,-85.1999,Macs
16,Avarua,CK,25.03,broken clouds,-21.2078,-159.775,Paradise Inn
17,Kapaa,US,26.99,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Liuzhou,CN,27.04,overcast clouds,24.3126,109.3892,Linjiang Inn
27,Port Hedland,AU,30.03,broken clouds,-20.3167,118.5667,The Esplanade Hotel
31,Vaini,TO,26.09,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,Cockburn Town,TC,27.48,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
39,Georgetown,MY,30.97,scattered clouds,5.4112,100.3354,Cititel Penang
43,Hithadhoo,MV,27.71,overcast clouds,-0.6,73.0833,Scoop Guest House
44,Hasaki,JP,27.38,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
48,Barinas,VE,24.02,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
50,Hilo,US,25.85,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
53,Jamestown,US,24.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,Priiskovyy,RU,27.34,broken clouds,51.9333,116.6333,
59,Bandarbeyla,SO,27.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
61,Bengkulu,ID,28.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,Gorontalo,ID,31.04,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
70,Weligama,LK,28.35,overcast clouds,5.9667,80.4167,Weligama Bay Resort
71,Illela,NG,25.14,moderate rain,13.7292,5.2975,
79,Atuona,PF,25.52,clear sky,-9.8,-139.0333,Villa Enata
81,Victoria,HK,30.74,light rain,22.2855,114.1577,Mini Central
82,Simbahan,PH,28.33,broken clouds,6.3032,120.5836,
88,Alofi,NU,25.94,broken clouds,-19.0595,-169.9187,Taloa Heights
89,Kavaratti,IN,28.03,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
92,Hopewell,US,25.08,overcast clouds,37.3043,-77.2872,Best Western Plus Hopewell Fort Lee
94,Sinnamary,GF,24.46,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
95,Kalmunai,LK,27.93,overcast clouds,7.4167,81.8167,VS Villa
100,Katsuura,JP,24.36,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
104,Erzin,TR,26.27,clear sky,36.9559,36.2,Artemis Otel
113,Tagusao,PH,31.1,clear sky,9.1924,117.8141,Green Villa beach resort
116,Guasdualito,VE,25.0,scattered clouds,7.2424,-70.7324,Hotel Cuibas
123,Liberal,US,27.08,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
129,Cadereyta,MX,28.99,clear sky,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
134,Kahului,US,27.01,broken clouds,20.8947,-156.47,Maui Seaside Hotel
135,Payyannur,IN,29.57,overcast clouds,12.1,75.2,Kavvayi Beach House
138,Samarai,PG,27.77,moderate rain,-10.6167,150.6667,Nuli Sapi
139,Moa,CU,25.83,overcast clouds,20.6569,-74.9403,Carmen
144,Lorengau,PG,27.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
147,Turkan,AZ,29.1,clear sky,40.3639,50.215,Reshad
151,Butaritari,KI,28.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
156,Teknaf,BD,27.71,overcast clouds,20.8624,92.3058,Forestry Guesthouse
159,Meulaboh,ID,29.23,broken clouds,4.1363,96.1285,Kost Pria
160,Faanui,PF,26.9,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
161,Nanakuli,US,26.97,few clouds,21.3906,-158.1547,Camp Pālehua
162,Tayu,ID,28.66,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
167,Gizo,SB,29.41,few clouds,-8.103,156.8419,Imagination Island
173,Kavieng,PG,29.09,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
176,Aksu,CN,30.08,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
179,Cabo San Lucas,MX,29.61,broken clouds,22.8909,-109.9124,Vista Roof Restaurant
181,Nishihara,JP,27.81,light rain,26.1842,127.7558,Minshuku Agaihama
182,Oranjestad,AW,27.97,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
183,Honiara,SB,29.67,few clouds,-9.4333,159.95,Heritage Park Hotel
190,Mineral Wells,US,30.78,clear sky,32.8085,-98.1128,The Baker Hotel and Spa
191,Isangel,VU,26.46,overcast clouds,-19.55,169.2667,Tanna Lodge
194,Sahuaripa,MX,30.12,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
199,Fuling,CN,30.28,overcast clouds,29.7022,107.3919,Yingbin Hostel
207,Bull Savanna,JM,24.81,overcast clouds,17.8868,-77.5902,Big Red's
215,Kantang,TH,31.66,scattered clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
222,Kerrville,US,29.18,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
225,Kudahuvadhoo,MV,28.93,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
230,Nyaunglebin,MM,30.25,overcast clouds,17.95,96.7333,Thi ha
231,Bathsheba,BB,27.34,scattered clouds,13.2167,-59.5167,Atlantis Hotel
232,Champerico,GT,24.04,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
239,Sulangan,PH,29.31,few clouds,11.1373,123.7228,Maia's Beach Resort
242,Salalah,OM,30.05,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
243,Elizabeth City,US,25.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
249,Kedougou,SN,26.48,overcast clouds,12.5579,-12.1743,Relais de Kédougou
250,Hambantota,LK,28.19,broken clouds,6.1241,81.1185,Bungalow 63
251,Buala,SB,28.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
253,Payo,ID,31.69,broken clouds,-3.7508,103.6372,Mess keban agung
256,Boyolangu,ID,29.1,light rain,-8.1181,111.8935,Yos ega cv
259,Indramayu,ID,27.55,moderate rain,-6.3264,108.32,Grand Trisula Hotel
261,Mandalgovi,MN,26.7,few clouds,45.7625,106.2708,В.Ганбат
264,Hami,CN,32.0,overcast clouds,42.8,93.45,Laoyutang Resort
265,Padang,ID,28.03,overcast clouds,-0.9492,100.3543,Mercure Padang
267,Kralendijk,BQ,27.13,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
268,Pokhara,NP,28.22,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
271,Shingu,JP,27.67,light rain,33.7333,135.9833,Shingu UI Hotel
274,Alyangula,AU,26.91,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
279,Frontera,MX,30.74,clear sky,26.9333,-101.45,Fiesta Inn Monclova
281,Mana,GF,24.14,overcast clouds,5.6592,-53.7767,LE SAMANA
286,Biak,ID,26.4,broken clouds,-0.9131,122.8766,Penginapan Kim
287,Tadine,NC,25.09,moderate rain,-21.55,167.8833,
288,Mount Isa,AU,24.87,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
289,Pontian Kecil,MY,30.18,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
290,Kloulklubed,PW,28.28,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
297,Bairiki,KI,30.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
299,Ascension,US,25.56,clear sky,30.2169,-90.9001,Highland Inn
303,Karratha,AU,27.61,light rain,-20.7377,116.8463,ibis Styles Karratha
305,Mankachar,IN,26.87,heavy intensity rain,25.5333,89.8667,Shuhan Sahil Hussain
311,Agua Dulce,MX,24.9,clear sky,18.1333,-94.1333,Hotel Victoria
315,Kapit,MY,31.87,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
317,Ligayan,PH,28.16,broken clouds,4.6533,119.4706,
319,Zhob,PK,31.75,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
320,Oarai,JP,27.41,moderate rain,36.3167,140.6,Oarai Hotel
323,Aurangabad,IN,28.47,overcast clouds,19.8833,75.3333,Vivanta Aurangabad
334,Consuelo,PH,29.23,clear sky,10.6348,124.301,Mangodlong Paradise Beach Resort
335,Labuhan,ID,30.31,light rain,-6.8844,112.2051,DoubleFAG
336,Poum,NC,26.31,overcast clouds,-20.2333,164.0167,
337,Fare,PF,26.29,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
343,Marsh Harbour,BS,26.91,clear sky,26.5412,-77.0636,Abaco Beach Resort
345,Bakel,SN,29.6,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
346,Catuday,PH,29.56,heavy intensity rain,16.2923,119.8062,Benjie's Kubo & Cottages
352,Kieta,PG,28.5,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
354,Gambiran,ID,29.89,overcast clouds,-6.7988,111.4951,GUBUK KU
359,Sumenep,ID,29.39,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
364,Dingle,PH,31.57,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
367,Yumen,CN,31.7,broken clouds,40.2833,97.2,
371,Gigmoto,PH,30.26,overcast clouds,13.7796,124.39,Cj's Travellers Inn
372,Tucumcari,US,29.91,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
374,Aswan,EG,26.61,clear sky,24.0934,32.907,Nuba Nile
378,Banda Aceh,ID,29.53,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
382,Bilma,NE,30.28,few clouds,18.6853,12.9164,Expeditions Ténére voyages
387,San Patricio,US,29.35,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
388,Zacualpan,MX,26.84,overcast clouds,21.25,-105.1667,La Colorada B&B
389,Umm Lajj,SA,29.67,clear sky,25.0213,37.2685,Moon light Furnished Units
392,Atambua,ID,27.79,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
397,Peleduy,RU,26.74,clear sky,59.6289,112.7406,Гостиница «Уют»
399,Jiaonan,CN,24.93,scattered clouds,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
402,Fukue,JP,25.2,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
404,Forestville,US,25.48,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
406,Tual,ID,27.66,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
411,Negombo,LK,30.03,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
413,Majene,ID,28.03,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
414,Hobyo,SO,27.24,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
418,Babai,IN,31.7,overcast clouds,22.7,77.9333,Sumit Kahar
421,Mangrol,IN,30.05,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
422,Abu Samrah,SY,26.85,clear sky,35.3029,37.1841,
429,Wilmington,US,24.97,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
436,Oistins,BB,27.05,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
439,Independence,US,29.49,clear sky,39.0911,-94.4155,Higher Ground Hotel
442,Bandar-E Lengeh,IR,31.06,mist,26.5579,54.8807,کافی نت پارس
449,Sibolga,ID,29.92,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
453,Tabory,RU,24.21,clear sky,58.5198,64.5495,
455,Oussouye,SN,24.71,overcast clouds,12.485,-16.5469,Auberge du Routard
460,Davila,PH,30.99,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
465,The Valley,AI,27.92,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
466,Agutaya,PH,29.48,scattered clouds,11.148,120.9417,
467,Pedernales,DO,27.42,overcast clouds,18.0384,-71.744,Hotel Costa Marina
468,San Policarpo,PH,29.81,broken clouds,12.1791,125.5072,Agapita M. Nicart
469,Hailar,CN,25.21,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
470,Port Blair,IN,30.02,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
471,Acapulco,MX,24.9,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
472,Vaitape,PF,26.9,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
474,Tateyama,JP,25.61,light rain,34.9833,139.8667,Tateyama Seaside Hotel
477,Galle,LK,28.11,overcast clouds,6.0367,80.217,Amangalla
485,Dwarka,IN,30.45,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
487,Sangueya,GN,24.75,overcast clouds,10.7,-14.3667,
489,Verkh-Usugli,RU,26.39,overcast clouds,52.7,115.1667,"Gostinitsa ""Sever"""
492,Saint-Georges,GD,26.8,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
495,Uruzgan,AF,28.47,clear sky,32.8333,66.0,
497,Agadez,NE,29.78,overcast clouds,19.75,10.25,
503,Katobu,ID,26.31,overcast clouds,-4.9408,122.5276,La Ode Husein
505,Metro,ID,25.41,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
515,Xining,CN,24.33,broken clouds,36.6167,101.7667,Super Leisure Hotel
517,Norsup,VU,27.09,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
518,Nhulunbuy,AU,29.34,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
519,Axim,GH,24.08,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
524,Korla,CN,29.29,overcast clouds,41.7597,86.1469,Gulisitan Hotel
525,Salinopolis,BR,25.17,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
530,Marawi,PH,25.19,broken clouds,7.9986,124.2928,Derogongan Residence
531,Avera,US,27.43,scattered clouds,33.194,-82.5271,
532,Yaring,TH,30.36,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
533,Gotsu,JP,25.05,clear sky,35.0,132.2167,Yurusato
534,Ternate,ID,28.87,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
540,Rameswaram,IN,27.85,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
544,Zhezkazgan,KZ,27.99,clear sky,47.8043,67.7144,Hotel Zumrat
545,Charters Towers,AU,25.43,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
551,Kushmurun,KZ,25.56,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
556,Chodavaram,IN,30.91,overcast clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
558,Tautira,PF,26.11,scattered clouds,-17.7333,-149.15,Pension Oaoa
559,Los Lunas,US,26.9,broken clouds,34.8062,-106.7334,Western Skies Inns & Suites
564,Havelock,US,26.09,clear sky,34.8791,-76.9013,Sherwood Motel
566,Huilong,CN,28.5,few clouds,31.8111,121.655,Hilton Garden Inn Qidong
570,Tabou,CI,24.51,moderate rain,4.423,-7.3528,hotêl doufoulougou
572,Puebloviejo,CO,28.1,broken clouds,10.9938,-74.2844,The Journey Hostel
576,Kirakira,SB,28.03,broken clouds,-10.4544,161.9205,SanBiz Lodge
579,Komsomolskiy,UZ,26.4,overcast clouds,40.4272,71.7189,Ikathouse
586,Tecoanapa,MX,25.22,overcast clouds,16.5167,-98.75,Hotel Manglares
594,Nabire,ID,27.99,light rain,-3.3667,135.4833,Hotel Nusantara I
596,Puerto Escondido,MX,25.41,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
597,Osmena,PH,29.93,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
598,Seoul,KR,26.66,haze,37.5683,126.9778,롯데호텔 서울
601,Sidi Ali,DZ,25.27,scattered clouds,36.0998,0.4206,Complexe touristique haje bezine
602,Black River,JM,25.9,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
607,Manado,ID,31.43,light rain,1.487,124.8455,Aryaduta Hotel
609,Beihai,CN,28.92,heavy intensity rain,21.4833,109.1,21 Degree Hostel
611,Guymon,US,27.0,clear sky,36.6828,-101.4816,Simple Rewards
612,Sinjai,ID,27.89,overcast clouds,-5.1241,120.253,Wisma Sandika
614,Sungaipenuh,ID,24.37,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
618,Manzhouli,CN,25.43,few clouds,49.6,117.4333,Angala International Youth Hostel
619,Guane,CU,25.07,light rain,22.2025,-84.0875,base de Campismo LosPortales de Guane
624,Derzhavinsk,KZ,26.5,broken clouds,51.1,66.3167,Ooo.khim Baza
628,Lubu,CN,27.42,overcast clouds,23.1742,112.2809,Classic View Hotel
629,Kashi,CN,28.56,clear sky,39.4547,75.9797,帕米尔青年旅舍
634,Puerto Madero,MX,24.84,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
635,Filingue,NE,28.0,broken clouds,14.3521,3.3168,
636,Ugoofaaru,MV,28.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
638,Chardara,KZ,29.38,scattered clouds,41.2547,67.9692,Жанаргул
649,Akdepe,TM,30.05,clear sky,42.0551,59.3788,
653,Kupang,ID,30.22,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
657,Yuancheng,CN,31.62,overcast clouds,36.652,107.7896,
658,Zhanaozen,KZ,30.92,few clouds,43.3,52.8,K.korabay 28A
662,Sri Aman,MY,29.03,light rain,1.2376,111.4621,Seri Simanggang Hotel
664,Honggang,CN,26.9,clear sky,46.4667,124.8667,亚布力滑雪旅游度假区
665,Hirara,JP,28.15,heavy intensity rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
667,Daska,PK,26.99,broken clouds,32.3243,74.3497,Royal Dream Fort
670,Wattegama,LK,27.74,overcast clouds,6.7989,81.4808,
672,Nenjiang,CN,27.02,clear sky,49.1833,125.2167,Nenjiang Apartment
